title,price,rating,reviews
Minecraft - Nintendo Switch,29.$,4.8 out of 5 stars,"43,859 ratings"
Mario Party Superstars - US Version,51.$,4.8 out of 5 stars,"15,224 ratings"
Super Mario Bros.™ Wonder - Nintendo Switch (US Version),53.$,4.9 out of 5 stars,"8,278 ratings"
"LEGO Super Mario Donkey Kong’s Tree House Expansion Set, Buildable Game with 2 Collectible Super Mario Figures Donkey Kong and Cranky Kong, Fun Birthday Gift for 8-10 Year Old Kids, 71424",47.$,4.8 out of 5 stars,701 ratings
"PowerA Everywhere Messenger Bag for Nintendo Switch or Nintendo Switch Lite, Gaming Case, Carrying Case for Accessories, Console Case - Nintendo Switch",9.$,4.7 out of 5 stars,"3,656 ratings"
"Game Traveler Mario Kart Nintendo Switch Case - Switch OLED Case for Switch OLED, Switch & Switch Lite, Adjustable Viewing Stand & Bonus Game Cases, Deluxe Handle, Licensed Nintendo Switch Game case",24.$,4.8 out of 5 stars,"3,845 ratings"
Nintendo Switch Case,19.$,4.8 out of 5 stars,680 ratings
PDP Messenger Case with Removable Shoulder Strap - Holds 14 Games & Console - Compatible with Nintendo Switch/ Lite/ OLED - Power Pose Mario,43.$,4.7 out of 5 stars,451 ratings
PDP Messenger Case with Removable Shoulder Strap - Holds 14 Games & Console - Compatible with Nintendo Switch/ Lite/ OLED - Hyrule Hero Link.,359.$,4.5 out of 5 stars,273 ratings
Super Smash Bros. Ultimate - US Version,47.$,4.8 out of 5 stars,"70,975 ratings"
The Legend of Zelda: Tears of the Kingdom - Nintendo Switch (US Version),61.$,4.9 out of 5 stars,"22,094 ratings"
Mario Kart 8 Deluxe - US Version,55.$,4.9 out of 5 stars,"73,937 ratings"
Animal Crossing: New Horizons - Nintendo Switch,54.$,4.8 out of 5 stars,"74,448 ratings"
Bluey: The Videogame- Nintendo Switch,32.$,4.6 out of 5 stars,"1,739 ratings"
Luigi's Mansion 3 - US Version,51.$,4.8 out of 5 stars,"30,080 ratings"
Mario + Rabbids Sparks of Hope – Standard Edition,19.$,4.7 out of 5 stars,"8,928 ratings"
LEGO 2K Drive - Nintendo Switch,19.$,4.7 out of 5 stars,645 ratings
"Orzly Switch Sports Games 2024 Accessories Bundle Pack for Nintendo Switch & Switch OLED with Tennis Rackets, Golf Clubs, Chambara Swords, Soccer Leg Straps & Joycon Grips - With Carry Bag",34.$,4.4 out of 5 stars,855 ratings
Five Nights at Freddy's: Security Breach Nintendo Switch,38.$,4.8 out of 5 stars,957 ratings
Hogwarts Legacy - Nintendo Switch (European Version),36.$,4.8 out of 5 stars,776 ratings
The Oregon Trail Nintendo Switch,39.$,4.4 out of 5 stars,109 ratings
Gang Beasts - Nintendo Switch,24.$,4.7 out of 5 stars,"1,891 ratings"
Teenage Mutant Ninja Turtles: Mutants Unleashed - Nintendo Switch,39.$,Previous page of related Sponsored Products,
Kirby and the Forgotten Land - US Version,55.$,4.8 out of 5 stars,"10,564 ratings"
My Friend Pedro,39.$,4.5 out of 5 stars,90 ratings
"UDEE Game Storage Case for 12 Nintendo Switch Games, Game Cards or TF Card,Switch Accessories,Portable Switch Game Memory Card Storage",12.$,4.2 out of 5 stars,73 ratings
Disney Sing It: Family Hits - Nintendo Wii (Renewed),24.$,4.4 out of 5 stars,13 ratings
